trip_id,service_id,trip_short_name,stop_name,time,sequence
BC25WDS,WDS,BC25,Chetpet,11:14:00,5
BC25WDS,WDS,BC25,Nungambakkam,11:17:00,6
BC25WDS,WDS,BC25,Kodambakkam,11:19:00,7
BC25WDS,WDS,BC25,Mambalam,11:21:00,8
BC25WDS,WDS,BC25,Saidapet,11:24:00,9
BC25WDS,WDS,BC25,Guindy,11:27:00,10
BC25WDS,WDS,BC25,St. Thomas Mount,11:30:00,11
BC25WDS,WDS,BC25,Palavanthangal,11:33:00,12
BC25WDS,WDS,BC25,Minambakkam,11:36:00,13
BC25WDS,WDS,BC25,Tirusulam,11:38:00,14
BC25WDS,WDS,BC25,Pallavaram,11:41:00,15
BC25WDS,WDS,BC25,Chromepet,11:44:00,16
BC25WDS,WDS,BC25,Tambaram Sanatorium,11:47:00,17
BC25WDS,WDS,BC25,Tambaram,11:55:00,18
T65WDS,WDS,T65,Chennai Beach,11:10:00,1
T65WDS,WDS,T65,Chennai Fort,11:14:00,2
T65WDS,WDS,T65,Chennai Park,11:17:00,3
T65WDS,WDS,T65,Chennai Egmore,11:20:00,4
T65WDS,WDS,T65,Chetpet,11:24:00,5
T65WDS,WDS,T65,Nungambakkam,11:27:00,6
T65WDS,WDS,T65,Kodambakkam,11:29:00,7
T65WDS,WDS,T65,Mambalam,11:31:00,8
T65WDS,WDS,T65,Saidapet,11:34:00,9
T65WDS,WDS,T65,Guindy,11:37:00,10
T65WDS,WDS,T65,St. Thomas Mount,11:40:00,11
T65WDS,WDS,T65,Palavanthangal,11:43:00,12
T65WDS,WDS,T65,Minambakkam,11:46:00,13
T65WDS,WDS,T65,Tirusulam,11:48:00,14
T65WDS,WDS,T65,Pallavaram,11:51:00,15
T65WDS,WDS,T65,Chromepet,11:54:00,16
T65WDS,WDS,T65,Tambaram Sanatorium,11:57:00,17
T65WDS,WDS,T65,Tambaram,12:05:00,18
T67WDS,WDS,T67,Chennai Beach,11:20:00,1
T67WDS,WDS,T67,Chennai Fort,11:24:00,2
T67WDS,WDS,T67,Chennai Park,11:27:00,3
T67WDS,WDS,T67,Chennai Egmore,11:30:00,4
T67WDS,WDS,T67,Chetpet,11:34:00,5
T67WDS,WDS,T67,Nungambakkam,11:37:00,6
T67WDS,WDS,T67,Kodambakkam,11:39:00,7
T67WDS,WDS,T67,Mambalam,11:41:00,8
T67WDS,WDS,T67,Saidapet,11:44:00,9
T67WDS,WDS,T67,Guindy,11:47:00,10
T67WDS,WDS,T67,St. Thomas Mount,11:50:00,11
T67WDS,WDS,T67,Palavanthangal,11:53:00,12
T67WDS,WDS,T67,Minambakkam,11:56:00,13
T67WDS,WDS,T67,Tirusulam,11:58:00,14
T67WDS,WDS,T67,Pallavaram,12:01:00,15
T67WDS,WDS,T67,Chromepet,12:04:00,16
T67WDS,WDS,T67,Tambaram Sanatorium,12:07:00,17
T67WDS,WDS,T67,Tambaram,12:15:00,18
T69WDS,WDS,T69,Chennai Beach,11:32:00,1
T69WDS,WDS,T69,Chennai Fort,11:36:00,2
T69WDS,WDS,T69,Chennai Park,11:39:00,3
T69WDS,WDS,T69,Chennai Egmore,11:42:00,4
T69WDS,WDS,T69,Chetpet,11:46:00,5
T69WDS,WDS,T69,Nungambakkam,11:49:00,6
T69WDS,WDS,T69,Kodambakkam,11:51:00,7
T69WDS,WDS,T69,Mambalam,11:53:00,8
T69WDS,WDS,T69,Saidapet,11:56:00,9
T69WDS,WDS,T69,Guindy,11:59:00,10
T69WDS,WDS,T69,St. Thomas Mount,12:02:00,11
T69WDS,WDS,T69,Palavanthangal,12:05:00,12
T69WDS,WDS,T69,Minambakkam,12:08:00,13
T69WDS,WDS,T69,Tirusulam,12:10:00,14
T69WDS,WDS,T69,Pallavaram,12:13:00,15
T69WDS,WDS,T69,Chromepet,12:16:00,16
T69WDS,WDS,T69,Tambaram Sanatorium,12:19:00,17
T69WDS,WDS,T69,Tambaram,12:27:00,18
T71WDS,WDS,T71,Chennai Beach,11:42:00,1
T71WDS,WDS,T71,Chennai Fort,11:46:00,2
T71WDS,WDS,T71,Chennai Park,11:49:00,3
T71WDS,WDS,T71,Chennai Egmore,11:52:00,4
T71WDS,WDS,T71,Chetpet,11:56:00,5
T71WDS,WDS,T71,Nungambakkam,11:59:00,6
T71WDS,WDS,T71,Kodambakkam,12:01:00,7
T71WDS,WDS,T71,Mambalam,12:03:00,8
T71WDS,WDS,T71,Saidapet,12:06:00,9
T71WDS,WDS,T71,Guindy,12:09:00,10
T71WDS,WDS,T71,St. Thomas Mount,12:12:00,11
T71WDS,WDS,T71,Palavanthangal,12:15:00,12
T71WDS,WDS,T71,Minambakkam,12:18:00,13
T71WDS,WDS,T71,Tirusulam,12:20:00,14
T71WDS,WDS,T71,Pallavaram,12:23:00,15
T71WDS,WDS,T71,Chromepet,12:26:00,16
T71WDS,WDS,T71,Tambaram Sanatorium,12:29:00,17
T71WDS,WDS,T71,Tambaram,12:37:00,18
BC27WDS,WDS,BC27,Chennai Beach,11:55:00,1
BC27WDS,WDS,BC27,Chennai Fort,11:59:00,2
BC27WDS,WDS,BC27,Chennai Park,12:02:00,3
BC27WDS,WDS,BC27,Chennai Egmore,12:05:00,4
BC27WDS,WDS,BC27,Chetpet,12:09:00,5
BC27WDS,WDS,BC27,Nungambakkam,12:12:00,6
BC27WDS,WDS,BC27,Kodambakkam,12:14:00,7
BC27WDS,WDS,BC27,Mambalam,12:16:00,8
BC27WDS,WDS,BC27,Saidapet,12:19:00,9
BC27WDS,WDS,BC27,Guindy,12:22:00,10
BC27WDS,WDS,BC27,St. Thomas Mount,12:25:00,11
BC27WDS,WDS,BC27,Palavanthangal,12:28:00,12
BC27WDS,WDS,BC27,Minambakkam,12:31:00,13
BC27WDS,WDS,BC27,Tirusulam,12:33:00,14
BC27WDS,WDS,BC27,Pallavaram,12:36:00,15
BC27WDS,WDS,BC27,Chromepet,12:39:00,16
BC27WDS,WDS,BC27,Tambaram Sanatorium,12:42:00,17
BC27WDS,WDS,BC27,Tambaram,12:50:00,18
T73WDS,WDS,T73,Chennai Beach,12:10:00,1
T73WDS,WDS,T73,Chennai Fort,12:14:00,2
T73WDS,WDS,T73,Chennai Park,12:17:00,3
T73WDS,WDS,T73,Chennai Egmore,12:20:00,4
T73WDS,WDS,T73,Chetpet,12:24:00,5
T73WDS,WDS,T73,Nungambakkam,12:27:00,6
T73WDS,WDS,T73,Kodambakkam,12:29:00,7
T73WDS,WDS,T73,Mambalam,12:31:00,8
T73WDS,WDS,T73,Saidapet,12:34:00,9
T73WDS,WDS,T73,Guindy,12:37:00,10
T73WDS,WDS,T73,St. Thomas Mount,12:40:00,11
T73WDS,WDS,T73,Palavanthangal,12:43:00,12
T73WDS,WDS,T73,Minambakkam,12:46:00,13
T73WDS,WDS,T73,Tirusulam,12:48:00,14
T73WDS,WDS,T73,Pallavaram,12:51:00,15
T73WDS,WDS,T73,Chromepet,12:54:00,16
T73WDS,WDS,T73,Tambaram Sanatorium,12:57:00,17
T73WDS,WDS,T73,Tambaram,13:05:00,18
T75WDS,WDS,T75,Chennai Beach,12:20:00,1
T75WDS,WDS,T75,Chennai Fort,12:24:00,2
T75WDS,WDS,T75,Chennai Park,12:27:00,3
T75WDS,WDS,T75,Chennai Egmore,12:30:00,4
T75WDS,WDS,T75,Chetpet,12:34:00,5
T75WDS,WDS,T75,Nungambakkam,12:37:00,6
T75WDS,WDS,T75,Kodambakkam,12:39:00,7
T75WDS,WDS,T75,Mambalam,12:41:00,8
T75WDS,WDS,T75,Saidapet,12:44:00,9
T75WDS,WDS,T75,Guindy,12:47:00,10
T75WDS,WDS,T75,St. Thomas Mount,12:50:00,11
T75WDS,WDS,T75,Palavanthangal,12:53:00,12
T75WDS,WDS,T75,Minambakkam,12:56:00,13
T75WDS,WDS,T75,Tirusulam,12:58:00,14
T75WDS,WDS,T75,Pallavaram,13:01:00,15
T75WDS,WDS,T75,Chromepet,13:04:00,16
T75WDS,WDS,T75,Tambaram Sanatorium,13:07:00,17
T75WDS,WDS,T75,Tambaram,13:15:00,18
BC29WDS,WDS,BC29,Chennai Beach,12:30:00,1
BC29WDS,WDS,BC29,Chennai Fort,12:34:00,2
BC29WDS,WDS,BC29,Chennai Park,12:37:00,3
BC29WDS,WDS,BC29,Chennai Egmore,12:40:00,4
BC29WDS,WDS,BC29,Chetpet,12:44:00,5
BC29WDS,WDS,BC29,Nungambakkam,12:47:00,6
BC29WDS,WDS,BC29,Kodambakkam,12:49:00,7
BC29WDS,WDS,BC29,Mambalam,12:51:00,8
BC29WDS,WDS,BC29,Saidapet,12:54:00,9
BC29WDS,WDS,BC29,Guindy,12:57:00,10
BC29WDS,WDS,BC29,St. Thomas Mount,13:00:00,11
BC29WDS,WDS,BC29,Palavanthangal,13:03:00,12
BC29WDS,WDS,BC29,Minambakkam,13:06:00,13
BC29WDS,WDS,BC29,Tirusulam,13:08:00,14
BC29WDS,WDS,BC29,Pallavaram,13:11:00,15
BC29WDS,WDS,BC29,Chromepet,13:14:00,16
BC29WDS,WDS,BC29,Tambaram Sanatorium,13:17:00,17
BC29WDS,WDS,BC29,Tambaram,13:25:00,18
T77WDS,WDS,T77,Chennai Beach,12:43:00,1
T77WDS,WDS,T77,Chennai Fort,12:47:00,2
T77WDS,WDS,T77,Chennai Park,12:50:00,3
T77WDS,WDS,T77,Chennai Egmore,12:53:00,4
T77WDS,WDS,T77,Chetpet,12:57:00,5
T77WDS,WDS,T77,Nungambakkam,13:00:00,6
T77WDS,WDS,T77,Kodambakkam,13:02:00,7
T77WDS,WDS,T77,Mambalam,13:04:00,8
T77WDS,WDS,T77,Saidapet,13:07:00,9
T77WDS,WDS,T77,Guindy,13:10:00,10
T77WDS,WDS,T77,St. Thomas Mount,13:13:00,11
T77WDS,WDS,T77,Palavanthangal,13:16:00,12
T77WDS,WDS,T77,Minambakkam,13:19:00,13
T77WDS,WDS,T77,Tirusulam,13:21:00,14
T77WDS,WDS,T77,Pallavaram,13:24:00,15
T77WDS,WDS,T77,Chromepet,13:27:00,16
T77WDS,WDS,T77,Tambaram Sanatorium,13:30:00,17
T77WDS,WDS,T77,Tambaram,13:38:00,18
T79WDS,WDS,T79,Chennai Beach,12:56:00,1
T79WDS,WDS,T79,Chennai Fort,13:00:00,2
T79WDS,WDS,T79,Chennai Park,13:03:00,3
T79WDS,WDS,T79,Chennai Egmore,13:06:00,4
T79WDS,WDS,T79,Chetpet,13:10:00,5
T79WDS,WDS,T79,Nungambakkam,13:13:00,6
T79WDS,WDS,T79,Kodambakkam,13:15:00,7
T79WDS,WDS,T79,Mambalam,13:17:00,8
T79WDS,WDS,T79,Saidapet,13:20:00,9
T79WDS,WDS,T79,Guindy,13:23:00,10
T79WDS,WDS,T79,St. Thomas Mount,13:26:00,11
T79WDS,WDS,T79,Palavanthangal,13:29:00,12
T79WDS,WDS,T79,Minambakkam,13:32:00,13
